video_name,year,duration_sec,download_link
0_2024-07-30 14:34:41.8320_none.mp4,2024,59.9,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:34:41.8320_none.mp4
7_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/7_2024-07-30 13:32:16.8560_none.mp4
4_2024-07-31 12:05:51.3060_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-31 12:05:51.3060_none.mp4
0_2024-07-30 14:54:27.0150_none.mp4,2024,60.06666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:54:27.0150_none.mp4
1_2024-07-30 14:15:10.2170_none.mp4,2024,1.0,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:15:10.2170_none.mp4
5_2024-07-31 12:47:57.9700_none.mp4,2024,25.266666666666666,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-31 12:47:57.9700_none.mp4
0_2024-07-31 12:32:29.8210_none.mp4,2024,59.93333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-31 12:32:29.8210_none.mp4
7_2024-07-31 11:24:10.4140_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/7_2024-07-31 11:24:10.4140_none.mp4
0_2024-07-30 14:25:52.7760_none.mp4,2024,51.2,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:25:52.7760_none.mp4
7_2024-07-30 13:58:08.8070_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/7_2024-07-30 13:58:08.8070_none.mp4
7_2024-07-30 13:44:48.1470_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/7_2024-07-30 13:44:48.1470_none.mp4
0_2024-07-30 14:20:37.2220_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:20:37.2220_none.mp4
1_2024-08-14_14-26-21.7580_none.mp4,2024,7.733333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-08-14_14-26-21.7580_none.mp4
0_2024-07-30 14:30:01.8190_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:30:01.8190_none.mp4
1_2024-07-30 14:32:45.5140_none.mp4,2024,2.2333333333333334,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:32:45.5140_none.mp4
0_2024-07-30 14:21:59.5940_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:21:59.5940_none.mp4
0_2024-07-30 14:16:25.6260_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:16:25.6260_none.mp4
0_2024-07-30 13:46:22.4460_none.mp4,2024,59.9,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:46:22.4460_none.mp4
2_2024-07-30 14:14:37.7750_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/2_2024-07-30 14:14:37.7750_none.mp4
0_2024-07-30 14:13:50.9520_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:13:50.9520_none.mp4
0_2024-07-30 13:06:38.1840_none.mp4,2024,2.5401069518716577,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:06:38.1840_none.mp4
9_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/9_2024-07-30 13:32:16.8560_none.mp4
0_2024-07-30 14:30:18.4500_none.mp4,2024,57.43333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:30:18.4500_none.mp4
0_2024-07-30 14:47:35.7360_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:47:35.7360_none.mp4
1_2024-07-30 14:14:37.7750_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:14:37.7750_none.mp4
9_2024-07-31 11:24:10.4140_none.mp4,2024,42.3,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/9_2024-07-31 11:24:10.4140_none.mp4
0_2024-07-30 14:36:54.8340_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:36:54.8340_none.mp4
4_2024-07-30 13:44:48.1470_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-30 13:44:48.1470_none.mp4
4_2024-07-30 13:58:08.8070_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-30 13:58:08.8070_none.mp4
1_2024-07-30 14:17:54.0820_none.mp4,2024,4.833333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:17:54.0820_none.mp4
0_2024-07-30 13:56:02.5940_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:56:02.5940_none.mp4
0_2024-07-30 14:04:01.8060_none.mp4,2024,32.1,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:04:01.8060_none.mp4
0_2024-08-14_14-14-59.9930_none.mp4,2024,60.0,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-08-14_14-14-59.9930_none.mp4
9_2024-07-30 13:58:08.8070_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/9_2024-07-30 13:58:08.8070_none.mp4
5_2024-07-31 12:57:17.6120_none.mp4,2024,7.2,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-31 12:57:17.6120_none.mp4
9_2024-07-30 13:44:48.1470_none.mp4,2024,52.13333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/9_2024-07-30 13:44:48.1470_none.mp4
1_2024-07-30 14:05:46.1620_none.mp4,2024,0.9333333333333332,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:05:46.1620_none.mp4
1_2024-08-14_14-09-58.8220_none.mp4,2024,35.36666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-08-14_14-09-58.8220_none.mp4
7_2024-07-31 12:05:51.3060_none.mp4,2024,38.2,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/7_2024-07-31 12:05:51.3060_none.mp4
4_2024-07-30 13:32:16.8560_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-30 13:32:16.8560_none.mp4
3_2024-07-31 12:32:29.8210_none.mp4,2024,59.766666666666666,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-31 12:32:29.8210_none.mp4
4_2024-07-31 11:24:10.4140_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-31 11:24:10.4140_none.mp4
0_2024-08-14_12-34-55.9400_none.mp4,2024,12.6,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-08-14_12-34-55.9400_none.mp4
6_2024-07-31 11:24:10.4140_none.mp4,2024,59.766666666666666,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/6_2024-07-31 11:24:10.4140_none.mp4
1_2024-07-31 12:32:29.8210_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-31 12:32:29.8210_none.mp4
4_2024-07-31 12:47:57.9700_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-31 12:47:57.9700_none.mp4
1_2024-07-30 14:54:27.0150_none.mp4,2024,1.8333333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:54:27.0150_none.mp4
5_2024-07-31 12:05:51.3060_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-31 12:05:51.3060_none.mp4
0_2024-07-30 14:15:10.2170_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:15:10.2170_none.mp4
0_2024-07-30 10:44:10.4660_none.mp4,2024,11.968306922435362,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 10:44:10.4660_none.mp4
1_2024-07-30 14:34:41.8320_none.mp4,2024,2.3,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:34:41.8320_none.mp4
6_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/6_2024-07-30 13:32:16.8560_none.mp4
10_2024-07-30 13:32:16.8560_none.mp4,2024,38.3,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/10_2024-07-30 13:32:16.8560_none.mp4
0_2024-08-14_14-26-21.7580_none.mp4,2024,60.06666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-08-14_14-26-21.7580_none.mp4
1_2024-07-30 14:30:01.8190_none.mp4,2024,3.1,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:30:01.8190_none.mp4
0_2024-07-30 14:32:45.5140_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:32:45.5140_none.mp4
1_2024-07-30 14:21:59.5940_none.mp4,2024,2.2,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:21:59.5940_none.mp4
